,Comedy,Drama,Horror,Thriller,Romance
65,Playtime,Harry Potter and the Deathly Hallows - Part 2,The Texas Chainsaw Massacre,Searching,From Here to Eternity
66,"Monsters, Inc.",Creed,Upgrade,Assault on Precinct 13,Midnight in Paris
67,Paddington,Vertigo,The Blair Witch Project,To Catch a Thief,Dave
68,What We Do In The Shadows,Open City,Bone Tomahawk,Sicario,Enchanted
69,Groundhog Day,The Wages of Fear,The Shining,Blue Velvet,To All the Boys I've Loved Before
70,Back to the Future,Apocalypse Now,Gerald's Game,The Fugitive,A Summer's Tale
71,Anomalisa,The Death of Stalin,The Devil's Candy,Ex Machina,The Crying Game
72,Duck Soup,The Hurt Locker,The Wicker Man,10 Cloverfield Lane,Big Night
73,Bull Durham,L.A. Confidential,The Conjuring,The Manchurian Candidate,Million Dollar Baby
74,Moonrise Kingdom,Roman Holiday,Backcountry,Who Framed Roger Rabbit,Howards End
75,The Lego Batman Movie,Hidden Figures,Cronos,It,Knocked Up
76,Enough Said,The Last Picture Show,The Exorcist,Diva,The Little Mermaid
77,The Muppets,Star Wars: Episode IV - A New Hope,Henry: Portrait of a Serial Killer,L'Avventura,About a Boy
78,The Edge of Seventeen,Tokyo Story (Tôkyô monogatari),The Orphanage,Jurassic Park,Revanche
79,Who Framed Roger Rabbit,On the Waterfront,28 Days Later,The Birds,Monsoon Wedding
80,Broadcast News,Star Trek,Near Dark,In the Heat of the Night,Masculin Feminin
81,Lost In Translation,The Social Network,This Is the End,The Cabin in the Woods,The Remains of the Day
82,Deadpool 2,Paterson,Chronicle,In the Line of Fire,Brief Encounter
83,Tangerine,Carol,"Goodnight Mommy (Ich seh, Ich seh)",Elevator to the Gallows (Ascenseur pour l'échafaud),Hamlet
84,The Taste of Others (Le goût des autres),Blade Runner 2049,The House of the Devil,Rope,Out of Sight
85,The Band's Visit,"The Godfather, Part II",An American Werewolf in London,Wake in Fright,Southside With You
86,Le Havre,Phantom Thread,Better Watch Out,The Vanishing (Spoorloos),Strictly Ballroom
87,Repo Man,To Be or Not to Be,Dead Alive,Three Colors: Blue (Trois Couleurs: Bleu),The Quiet Man
88,The Truman Show,Cool Hand Luke,Poltergeist,Blue Ruin,The Last of the Mohicans
89,Hannah Gadsby: Nanette,Nightcrawler,The Descent,Gone Girl,Moonstruck
90,Silver Linings Playbook,Anatomy of a Murder,They Live,Close Encounters of the Third Kind,The Duke Of Burgundy
91,Guardians of the Galaxy Vol. 2,Battleship Potemkin,Donnie Darko: The Director's Cut,The Bourne Ultimatum,High Fidelity
92,Say Anything...,His Girl Friday,Los ojos de Julia (Julia's Eyes),Dr. No,Obvious Child
93,Juno,The Conformist,Save the Green Planet,Body Heat,The Spectacular Now
94,Wallace & Gromit: The Curse of the Were-Rabbit,Au Hasard Balthazar,Slither,Mandy,The Graduate
95,Elaine Stritch: Shoot Me,"I, Tonya",Ginger Snaps,House of Wax,The Piano
96,Manhattan,La Dolce Vita,The Omen,The Killer,The General
97,Monsieur Lazhar,It's a Wonderful Life,The Thing,Drag Me to Hell,Crazy Heart
98,We Are the Best!,Let the Right One In,Split,The Departed,Their Finest
99,Monty Python's Life of Brian,Beauty and The Beast (La Belle et la bête),The Conjuring 2,A Girl Walks Home Alone at Night,Y Tu Mama Tambien
